순위	도서명	상세링크	저자	출판사	출판일	판매가(원)	평점	리뷰수
1	바로바로 클로드 with 코워크, 스킬, 클로드 코드, 디자인	https://www.yes24.com/product/goods/189114943	차진우	골든래빗	2026년 05월	25200	9.6	11
2	혼자 공부하는 바이브 코딩 with 클로드 코드	https://www.yes24.com/product/goods/167573138	조태호	한빛미디어	2025년 12월	27000	9.9	170
3	뚝딱 바로 써먹는 AI 3대장 챗GPT · 제미나이 · 클로드	https://www.yes24.com/product/goods/192148896	코리아교육그룹 연구소	안경다리BOOKS	2026년 06월	19800	10.0	29
4	이게 되네? 제미나이 완전 미친 활용법 81제	https://www.yes24.com/product/goods/176901674	오힘찬	골든래빗	2026년 02월	21600	9.8	161
5	요즘 교사를 위한 에듀테크 5대장 : 캔바, 패들렛, 북크리에이터, 노션, 챗GPT∙제미나이	https://www.yes24.com/product/goods/169849422	안익재, 황의태	앤써북	2025년 12월	17820	10.0	93
6	AI 시대의 질문력, 프롬프트 엔지니어링	https://www.yes24.com/product/goods/150566390	류한석	코리아닷컴(Korea.com)	2025년 08월	24300	9.5	63
7	돈이 되네? 취미 그림이 전 세계로 팔리는 스톡 이미지 [홍차의 커스텀 브러시 제공＋승인율 가이드 전자책 제공]	https://www.yes24.com/product/goods/193587161	스튜디오 홍차	골든래빗	2026년 07월	23220	10.0	2
8	하네스 엔지니어링 with 클로드 코드	https://www.yes24.com/product/goods/189818905	황민호	한빛미디어	2026년 06월	27000	9.4	29
9	한눈에 보는 AI 반도체 산업	https://www.yes24.com/product/goods/183751609	MrTrigger	한빛미디어	2026년 03월	23400	9.9	148
10	요즘 교사를 위한 AI 바이브 코딩 활용 가이드 with 2022 개정 교육과정	https://www.yes24.com/product/goods/189413191	공지훈, 곽수창, 박준효	한빛미디어	2026년 05월	19800	9.9	105
11	클로드 코드로 시작하는 실전 에이전틱 코딩	https://www.yes24.com/product/goods/189211422	Goos Kim	더 타이즈	2026년 05월	29700	9.8	12
12	챗GPT · 제미나이 · 클로드까지 모두를 위한 AI	https://www.yes24.com/product/goods/192877325	지현이	시프트	2026년 07월	19800	10.0	3
13	바쁜 교사를 위한 바로 쓰는 AI	https://www.yes24.com/product/goods/185897982	전소영, 이태화, 조두연	사회평론아카데미	2026년 04월	21600	10.0	19
